,index,STATION_ID,STATION,BEGIN_DATE,END_DATE,STATE,COUNTRY,LATITUDE,LONGITUDE,ELEVATION,LAT_SCALED,LON_SCALED,TUPLES
0,0,WBAN:00184,"ABBEVILLE CHRIS CRUSTA MEMORIAL AIRPORT, LA US",2013-12-31,2018-08-18,Louisiana,United States,29.976000000000006,-92.084,15.2,16,22,"(22, 16)"
2,3,WBAN:14929,"ABERDEEN REGIONAL AIRPORT, SD US",1964-06-30,2018-08-18,South Dakota,United States,45.4433,-98.413,395.3,3,18,"(18, 3)"
4,5,WBAN:13962,"ABILENE REGIONAL AIRPORT, TX US",1946-07-31,2018-08-18,Texas,United States,32.4105,-99.6822,545.6,14,17,"(17, 14)"
10,11,WBAN:94975,"AINSWORTH MUNICIPAL AIRPORT, NE US",2005-12-31,2018-08-18,Nebraska,United States,42.57694,-100.00056,787.6,5,17,"(17, 5)"
13,16,WBAN:14813,"AKRON FULTON INTERNATIONAL AIRPORT, OH US",1998-12-31,2018-08-18,Ohio,United States,41.0375,-81.46417,318.2,7,30,"(30, 7)"
15,18,WBAN:53864,"ALABASTER SHELBY CO AIRPORT, AL US",2001-12-31,2018-08-18,Alabama,United States,33.178329999999995,-86.78166999999998,172.20000000000005,14,26,"(26, 14)"
17,21,WBAN:23061,"ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT, CO US",1956-12-31,2018-08-18,Colorado,United States,37.4389,-105.8613,2296.1,10,13,"(13, 10)"
22,26,WBAN:54921,"ALBION MUNICIPAL AIRPORT, NE US",2005-12-31,2018-08-18,Nebraska,United States,41.73,-98.05444,548.3000000000002,6,18,"(18, 6)"
26,30,WBAN:00258,"ALEXANDER MUNICIPAL AIRPORT, NM US",2014-07-30,2018-08-18,New Mexico,United States,34.645,-106.834,1583.1,12,12,"(12, 12)"
33,38,WBAN:24044,"ALLIANCE MUNICIPAL AIRPORT ASOS, NE US",2005-12-31,2018-08-18,Nebraska,United States,42.05730000000001,-102.8017,1197.6,6,15,"(15, 6)"
37,42,WBAN:03049,"ALPINE CASPARIS MUNICIPAL AIRPORT, TX US",2005-12-31,2018-08-18,Texas,United States,30.38333,-103.68333,1375.6,16,14,"(14, 16)"
40,45,WBAN:94299,"ALTURAS MUNICIPAL AIRPORT, CA US",2005-12-31,2018-08-18,California,United States,41.49139,-120.56444,1333.5,6,2,"(2, 6)"
42,47,WBAN:53933,"ALVA REGIONAL AIRPORT, OK US",2005-12-31,2018-08-18,Oklahoma,United States,36.77306,-98.66972,449.3,10,18,"(18, 10)"
43,49,WBAN:23047,"AMARILLO AIRPORT, TX US",1943-02-28,2018-08-18,Texas,United States,35.2295,-101.7042,1098.5,12,16,"(16, 12)"
50,56,WBAN:63811,"ANDREWS MURPHY AIRPORT, NC US",2005-12-31,2018-08-18,North Carolina,United States,35.195,-83.86528,516.9,12,28,"(28, 12)"
51,57,WBAN:00137,"ANGEL FIRE AIRPORT, NM US",2013-12-31,2018-08-18,New Mexico,United States,36.422,-105.29,2554.2000000000007,11,13,"(13, 11)"
