,STATION_ID,LAT_SCALED,LON_SCALED
0,WBAN:00184,16,22
1,WBAN:14929,3,18
2,WBAN:13962,14,17
3,WBAN:94975,5,17
4,WBAN:14813,7,30
5,WBAN:53864,14,26
6,WBAN:23061,10,13
7,WBAN:54921,6,18
8,WBAN:00258,12,12
9,WBAN:24044,6,15
10,WBAN:03049,16,14
11,WBAN:94299,6,2
12,WBAN:53933,10,18
13,WBAN:23047,12,16
14,WBAN:63811,12,28
15,WBAN:00137,11,13
16,WBAN:04864,3,24
17,WBAN:12832,17,27
18,WBAN:93730,8,35
19,WBAN:53932,12,19
20,WBAN:14605,4,38
21,WBAN:94281,3,1
22,WBAN:54817,4,29
23,WBAN:53138,8,7
24,WBAN:24130,3,4
25,WBAN:23155,12,3
26,WBAN:14606,3,39
27,WBAN:14616,4,39
28,WBAN:54833,5,24
30,WBAN:00282,2,14
31,WBAN:94947,7,19
32,WBAN:00127,18,18
33,WBAN:00224,4,2
34,WBAN:54781,5,36
35,WBAN:03044,14,16
36,WBAN:24033,3,11
37,WBAN:04725,6,34
38,WBAN:23157,10,4
39,WBAN:24011,2,16
40,WBAN:00286,4,23
41,WBAN:53881,10,31
42,WBAN:03036,10,10
43,WBAN:94793,7,37
44,WBAN:23225,8,2
45,WBAN:03859,10,30
46,WBAN:23158,13,6
47,WBAN:00263,17,18
48,WBAN:24131,5,5
49,WBAN:63871,16,27
50,WBAN:14739,6,37
51,WBAN:00310,0,5
52,WBAN:93808,10,26
53,WBAN:00353,5,11
54,WBAN:24132,3,9
55,WBAN:00451,10,21
56,WBAN:00435,18,20
57,WBAN:00433,9,3
58,WBAN:24180,6,8
59,WBAN:94946,6,17
60,WBAN:94902,4,19
61,WBAN:03721,13,32
62,WBAN:23159,10,8
63,WBAN:94037,3,14
64,WBAN:94054,4,12
65,WBAN:03068,9,14
66,WBAN:04866,5,25
67,WBAN:94282,0,1
68,WBAN:14742,4,36
69,WBAN:14817,4,27
70,WBAN:54743,7,35
72,WBAN:12986,17,19
73,WBAN:23136,13,3
74,WBAN:54923,3,19
75,WBAN:00285,0,17
76,WBAN:93729,12,34
77,WBAN:93810,10,24
78,WBAN:03177,14,4
80,WBAN:24089,5,12
81,WBAN:00465,6,32
